unique_elements,count
BUTYROSPERNNUM PARKII BUTTER,1
CHLORHEXIDINE DIGLUCONATE,1
ORYZA SATIVA OIL,1
OCTYLDODECYL STEAROYL STEARATE,1
ETHOXYDIGLYCOL,1
ELAEIS GUINEENSIS OIL,1
BIDENS PILOSA EXTRACT,1
COCONUT ALKANES,1
CITRUS AURANTIUM BERGAMIA (BERGAMOT) PEEL OIL,1
ETHYL CELLULOSE,1
RUBUS IDEAEUS (RASPBERRY) FRUIT EXTRACT,1
PRUNUS PERSICA (PEACH) FLOWER EXTRACT,1
OLUS (VEGETABLE) OIL,1
LINSEED ACID,1
OLEA EUROPAEA FRUIT OII,1
CL 77491 (IRON OXIDE),1
MAGNESIUM HYDROXIDE,1
ORYZA SATIVA (RICE) STARCH,1
GLYCERYL LINOLENATE,1
CYMBOPOGON SCHOENANTHUS (LEMONGRASS) EXTRACT,1
CINNAMAL,1
PRUNUS CERASUS (CHERRY) FRUIT EXTRACT,1
MUSA SAPIENTUM (BANANA) FLOWER EXTRACT,1
HYDROGENATED TRILINOLEATE,1
TRI(POLYGLYCERYL-3/LAURYL),1
PENTYLENE GYCOL,1
COCO-CAPRYLATE/- CAPRATE,1
20221212,1
BUTETH-3 TRIBUTYL CITRATE,1
GLYCERYL DIOLEATE HYDROXYACETOPHENONE,1
CERAMIDE NP CYANOCOBALAMIN,1
CI 77289 (CHROMIUM HYDROXIDE GREEN),1
HYDROLYZED WHEAT FLOUR,1
EUPHORBIA CERIFERA CERA (EUPHORBIA CERIFERA (CANDELILLA) WAX),1
BIXA ORELLANA SEED EXTRACT,1
AZELAIC ACID,1
MYRISTYL GLUCOSIDE,1
OLUS OIL (VEGETABLE OIL),1
HYDROGENATED COCONUT ACID,1
ISOCETYL STEARATE,1
CI 77510,1
PENTAERYTHRITY TETRAISOSTEARATE,1
BETAINE SALICYLATE,1
BENZOTRIAZOLYL DODECYL P-CRESOL,1
HYDROXYACETOPHENONE DICAPRYLYL CARBONATE,1
C12-18 ACID TRIGLYCERIDE,1
C18-36 ACID TRIGLYCERIDE,1
ALOE VERA LEAF EXTRACT,1
ACRYLATE/ACRYLIC ACID COPOLYMER,1
GLYCERYL SODIUM POLYACRYLATE,1
DIOLEATE,1
ALUMINUM SUCROSE OCTASULFATE,1
STYRENE/ACRYLATES COPOLYMER,1
SWERTIA CHIRATA EXTRACT,1
CI 77163 (BISMUTH OXYCHLORIDE),1
PYRIDOXINE,1
CI 17200 (RED 33),1
CI 19140 (YELLOW 5),1
OENOTHERA BIENNIS (EVENING PRIMROSE) OIL,1
PAEONIA ALBIFLORA ROOT EXTRACT,1
TABEBUIA IMPETIGINOSA BARK EXTRACT,1
GLUCOSAMINE,1
ORNITHINE,1
DEOXYTHYMIDINE,1
DEOXYGUANOSINE,1
DEOXYCYTIDINE,1
DEOXYADENOSINE,1
GLUCOMANNAN,1
SODIUM ASCORBATE,1
TRIHYDROXYSTEARIN,1
SESAMUM INDICUM (SESAME) SEED EXTRACT,1
ACRYLATE/C10-30 ALKYL ACRYLATE CROSSPOLYMER,1
GLYCERYL,1
SOYBEAN OIL,1
TOCOPHERYL PHOSPHATE,1
PYRIDOXAL 5-PHOSPHATE,1
METHYL DEOXYCYTIDINE,1
SODIUM URIDINE TRIPHOSPHATE,1
DISODIUM FLAVINE ADENINE DINUCLEOTIDE,1
GLUCURONOLACTONE,1
MAGNESIUM OXIDE,1
COPERNICIA CERIFERA CERA,1
ISOPENTYLDIOL,1
AMINOMETHYL PROPANOL,1
HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL UNSAPONIFIABLES,1
MOONSTONE EXTRACT/HYDRATED SILICA,1
POLYGLYCERYL-3 CAPRATE,1
CETYL HYDROXYETHYL CELLULOSE,1
COCOS NUCIFERA LIQUID ENDOSPERM,1
COFFEA ARABICA SEED EXTRACT,1
PASSIFLORA EDULIS SEED OIL,1
HYDROGENATED OLIVE OIL CAPRYLYL ESTERS,1
LACTITOL,1
ROSMARINUS OFFICINALIS LEAF EXTRACT CAPRYLYL/CAPRYL GLUCOSIDE,1
SODIUM ACRYLATE/ACRYLOYLDIMETHYLTAURATE/DIMETHYLACRYLAMIDE CROSSPOLYMER,1
PSZENICY SODIUM HYDROXIDE -  SODIUM PHYTATE – OTRĘBY RYŻOWE MYRISTIC ACID – POCHODZENIE ROŚLINNE PALMITIC ACID – POCHODZENIE ROŚLINNE CAPRYLIC GLYCOL -  CITRIC ACID – FERMENTACJA MELASY XANTHAN GUM – FERMENTACJA NASION SOI TOCOPHEROL – NASIONA SOI,1
KUKURYDZY,1
KOKOS GLYCINE SOJA OIL/SOYBEAN OIL – NASIONA SOI ALOE BERBEDENSIS LEAF- ALOES JUICE POWDER – ALOES VITIS VINIFERA FRUIT WATER/ GRAPE FRUIT WATER – WINOGRONO STEARIC ACID – POCHODZENIE ROŚLINNE CARBOMER-  SODIUM HYALURONATE – FERMENTACJA SOI,1
KUKURYDZA ZEA MAYS STARCH/ CORNY STARCH – KUKURYDZA STEARYL ALCOHOL – RZEPAK,1
MELASA KUKURYDZIANA GLYCERYL STEARATE SE – RZEPAK POLYGLYCERYL-3 METHYLGLUCOSE DISTEARATE – RZEPAK,1
TRZCINA CUKROWA,1
- BURAK CUKROWY,1
CAPRYLIC/CAPRIC TRIGLYCERIDE – KOKOS DICAPRYL ETHER – KOKOS ALCOHOL DENAT,1
KOKOS,1
RZEPAK,1
(SKŁADNIK – ŹRÓDŁO POCHODZENIA) WATER - WODA OCZYSZCZONA BUTYROSPERMUM PARKII BUTTER/SHEA BUTTER - NASIONA SHEA GLYCERIN – NASIONA SOI,1
CHRYSIN,1
PALMITOYL TETRAPEPTIDE -7,1
SAMBUCUS NIGRA FLOWER EXTRACT,1
PRUNUS SERRULATA FLOWER EXTRACT,1
XANTHAN GUM ACRYLATES COPOLYMER,1
COPERNICIA CERIFERA CERA / CARNAUBA WAX,1
ETHYLHEXYL TRIAZONE BUTYL METHOXYDIBENZOYLMETHANE,1
Z70038253/1),1
POTASSIUM SORBATE (F,1
VITIS VINIFERA FRUIT WATER / GRAPE FRUIT WATER,1
B 246437/1) -,1
RZEPAK SALICYLIC ACID -  PARFUM/FRAGRANCE (F,1
BAWEŁNA,1
KUKURYDZA,1
SŁONECZNIK,1
PHYTOSTERYL/BEHENYL/OCTYLDODECYL LAUROYL GLUTAMATE,1
BEHENYL ALKOHOL,1
PPG-10 METHYL GLUCOSE ETHER,1
CAPRYLIC/CAPRYL TRIGLYCERIDE,1
940151 4C – INGREDIENTS: WATER,1
Z70038504/1 ),1
HYDROXYETHYLCELLULOSE CAPRYLOYL SALICYLIC ACID,1
C12-22 ALKYL ACRYLATE / HYDROXY - ETHYLACRYLATE COPOLYMER,1
LINALOOL GERANIOL,1
CI 77499 / IRON OXIDES,1
CI 77492 / IRON OXIDES,1
CI 77491 / IRON OXIDES,1
RHEUM PALMATUM ROOT/STALK EXTRACT,1
SOPHORA FLAVESCENS ROOT EXTRACT,1
GOSSYPIUM HERBACEUM (COTTON) EXTRACT,1
CARDIOSPERMUM HALICACABUM FLOWER/LEAF/VINE EXTRACT,1
OZOKERITE,1
PPG-10 METHYL GLOCOSE ETHER,1
CAPRYLIC/CAPRIC/MYRISTK/STEARIC TRIGLYCERIDE,1
CAPRYLIC/CAPRK: TRIGLYCERIDE,1
BUTYTENE GLYCOL,1
THIOCTIC ACID,1
HYDROXYETHYKELLULOSE,1
APHANOTHECE SACRUM EXOPOLYSACCHARIDES,1
PHYTOSTERYL/LSOSTEARYL/CETYL/ STEARYL/BEHENYL DI MER DILINOLEATE,1
HYDROGENATED POLY (C6-12 OLEFIN),1
LACTOBACILLUS/SOYMILK FERMENT FILTRATE,1
TETRAPEPTIDE-5,1
UMNANTHES ALBA SEED OIL,1
POLYGLYCERYL-2 TRIISOSTEARATE,1
ECHIUM PLANTAGINEUM SEED OIL,1
RHEUM RHAPONTICUM (ROOT EXTRACT),1
ALOE BARBADENSIS GEL,1
ALOE BARBADENSIS (ALOE VERA) LEAF JUICE,1
CI 77861 (TIN OXIDE),1
CITRUS LIMON PEEL WATER,1
HIPPOPHAE RHAMNOIDES (SEA BUCKTHORN) OIL,1
POLYGLYCERYL-6 POLYRICINOLEATE,1
JASMINUM OFFICINALE (JASMINE) FLOWER/LEAF EXTRACT,1
ANISIC ACID,1
CARTHAMUS TINCTORIUS (SAFFLOWER) OIL,1
BENZYL ALCOHOL ZAWIERA ALERGEN,1
HYDROLYZED OATS,1
INOSITOL (VITAMIN B8),1
HIPPOPHAE RHAMNOIDES (SEABUCKTHORN) FRUIT OIL,1
HIPPOPHAE RHAMNOIDES (SEABUCKTHORN) FRUIT EXTRACT,1
RETINYL PALMITATE (VITAMIN A),1
MACADAMIA TERNIFOLIA (MACADAMIA) SEED OIL,1
SIMMONDSIA CHINENSIS (JOJOBA) OIL,1
PRUNUS AMYGDALUS DULCIS (ALMOND) OIL,1
ISOAMYL LAUREATE,1
POTASSIUM SORBATE ZAWIERA ALERGEN,1
AMYLOPECTIN (AND) LITHOTHAMNION CALCAREUM EXTRACT,1
ARTEMISIA ANNUA EXTRACT,1
SKŁADNIK POCHODZENIA NATURALNEGO SKŁADNIK CERTYFIKOWANY,1
LAVANDULA ANGUSTIFOLIA OIL,1
ZANTHOXYLUM PIPERITUM FRUIT EXTRACT,1
USNEA BARBATA EXTRACT,1
PULSATILLA KOREANA EXTRACT,1
SUNFLOWER SEED OIL GLYCERIDES,1
ORYZA SATIVA EXTRACT,1
AMYL CINNAMAL ZAWIERA ALERGENY,1
ROSE EXTRACT,1
(BERGAMOT) FRUIT EXTRACT,1
CUPRESSUS SEMPERVIRENS SEED EXTRACT,1
LAVANDULA ANGUSTIFOLIA (LAVENDER) FLOWER/LEAF STEM EXTRACT,1
PRUNUS PERSICA (PEACH) FRUIT EXTRACT,1
PLUMERIA RUBRA FLOWER EXTRACT,1
JOJOBA ESTERS/ HELIANTHUS ANNUUS SEED WAX/ ACACIA DECURRENS FLOWER WAX/ POLYGLYCERIN-3,1
DIETHYLHEXYL CARBONATE,1
TOCOPHERYL ACEATE,1
PHYLLOSTACHYS PUBESCENS SHOOT BARK EXTRACT,1
LAURYL OLIVATE,1
CAPRYŁYL GLYCOL,1
DIPOTASSUM PHOSPHATE,1
POLYGONUM TINCTORIUM LEAF EXTRACT,1
BRASSICA CAMPESTRIS SEED OIL,1
HYDRLYZED SOY PROTEIN,1
GLYCERYL UNDECYLENATE,1
BIS (TRIPEPTIDE-1) COPPER ACETATE,1
LEUCONOSTOC/ RADISH ROOT FERMENT FILTRATE,1
GALACTOARABINAN,1
CENTAUREA CYANUS FLOWER WATER,1
ACRYLATES/DIMETHICONE COPOLYMER,1
BUTYROSPERMUM PARKII BUTTER EXTRACT,1
PRUNUS AMYGDALUS (SWEET ALMOND) DULCIS OIL,1
HELICHRYSUM STOECHAS EXTRACT,1
ALPHA ISOMETHYL LONONE,1
CITRUS AURANTIUM DULCIS OIL,1
CITRUS PARADISI FRUIT EXTRACT,1
SIMMONDSIA CHINENSISSEED OIL,1
3-O ETHYL ASCORBIC ACID,1
GLYCEWN,1
MORUS ALBA BARK EXTRACT,1
ORCHID EXTRACT,1
POLYGLYCERYL-4 LAURATE/SUCCINATE,1
THYMUS VULGARIS (THYME) LEAF WATER,1
HELICHRYSUM ITALICUM FLOWER WATER,1
MORUS ALBA FRUIT EXTRACT,1
DIOSPYROS KAKI LEAF EXTRACT,1
CINNAMOMUM CASSIA BARK EXTRACT,1
ARTEMISIA PRINCEPS LEAF EXTRACT,1
C30-45 ALKYL DIMETHICONE,1
BIS-BEHENYL/ISOSTEARYL/PHYTOSTERYL DIMER DILINOLEYL DIMER DILINOLEATE,1
WATER / WATER / EAU,1
NELUMBO NUCIFERA (LOTUS ) EXTRACT,1
B272927/1),1
PEG-20,1
BIS-PEG-18 METHYL ETHER DIMETHYL SILANE,1
909034 41 – INGREDIENTS: WATER / WATER,1
B274806/1),1
909193 12 – INGREDIENTS: WATER / WATER,1
Z296349/1),1
VP/HEXADECENE COPOLYMER,1
GLYCYRRHIZA GLABRA (LICORICE) ROOT EXTRACT,1
HAMAMELIS VIRGINIANA (WITCH HAZEL) WATER,1
MORUS ALBA ROOT EXTRACT,1
PEG-20 METHYL GLUCOSE SESQUISTEARATE,1
PRUNUS ARMENIACA KERNEL OIL/ APRICOT KERNEL OIL,1
B196877/1),1
100% BAWEŁNA,1
CERA ALBA/BEESWAX,1
ORYZA SATIVA BRAN OIL/RICE BRAN OIL,1
PRUNUS ARMENIACA KERNEL OIL/APRICOT KERNEL OIL,1
Z283564/1,1
ORYZA SATIVA (RICE) EXTRACT (30%),1
ACETYL TETRAPEPTIDE-9,1
909302 06 - INGREDIENTS: WATER / WATER,1
Z70034593/3),1
CHRYSANTHEMUM INDICUM FLOWER EXTRACT,1
ROSA DAVURICA BUD EXTRACT,1
LIMONIA ACIDISSIMA EXTRACT,1
PALMITOYL TETRAPEPTIDE- 7,1
B197250/1),1
BEZNYL ALCOHOL,1
URTICA DIOICA EXTRACT/NETTLE EXTRACT,1
GLYCINE SOJA PROTEIN/SOYABEAN PROTEIN,1
CERA MICROCRISTALINA/MICRCRISTALINE WAX,1
CHAMOMILLA RECUTITA FLOWER EXTRACT/ MATRICARIA FLOWER EXTRACT,1
PARAFFINUM LIQUIDUM/ MINERAL OIL,1
ORYZA SATIVA (RICE) GERM EXTRACT,1
ISOSTEARAMIDOPROPYL ETHYLDIMONIUM ETHOSULFATE,1
B192799/2),1
ISOSTEARAMIDOPROPYL DIMETHYLAMINE,1
COPOLYMER,1
ACRYLONITRILE/METHYL METHACRYLATE/VINYLIDENE CHLORIDE,1
PHLOROGLUCINOL TRIMETHYL ETHER,1
ISOSTEARIC ACID,1
FAGUS SYLVATICA BUD EXTRACT,1
SAFFLOWER OIL/PALM OIL AMINOPROPANEDIOL ESTERS,1
Z283210/1),1
COCAMIDOPROPYL PG-DIMONIUM CHLORIDE PHOSPHATE,1
BROMELAIN,1
OXIDIZED STARACH ACETATE,1
ZEA MAYS STARCH/ CORN STARCH,1
L Z70001705/1),1
CUCUMIS SATIVUS SEED OIL,1
BIS- ETHYLHEXYLPHENOL METHOXYPHENYL TRIAZINE,1
PEG-100 STERATATE,1
DISODIUM STEARYL GLUTAMATE,1
BARON NITRIDE,1
CAMELIA OLEIFERA SEED OIL,1
TRIDOSIUM ETHYLENDIAMINE DISUCCINATE,1
BUTYL METHOXYDIBEZNOYLMETHANE,1
C12-15 ALKYL BEENZOTE,1
L B276909/1),1
VITIS VINIDERA FRUIT WATER / GRAPE FRUIT WATER,1
TITANIUM DIOXIDE [NANO] / TITAMUM DIOXIDE,1
PTFE,1
CETEARYL GLUUCOSIDE,1
ETHYLHEXYLGLYCEIN,1
BUTYL METHOXYDIBENZOLMMETHANE,1
DIBUTYL ADIPA - TE,1
Z284743/1),1
909131 16 - INGREDIENTS: WATER / WATER,1
Z286433/1),1
BETA - SITOSTEROL,1
HELIANTHUS ANNUUS SEED CERA / SUNFLOWER SEED WAX,1
1–METHYLHYDANTOIN–2–IMIDE,1
POLYGLYCERYL–3 METHYLGLUCOSE DISTEARATE,1
SODIUM CARBMER,1
3 -OCTADECANEDIOL,1
2 - OLEAMIDO-1,1
HYDROXYPALMITOYL SPHINGANINE,1
C265878/1),1
CI 16035 / RED 40,1
CI 15985 / YELLOW 6,1
B276084/1),1
DEHYDROXANTHAN GUM,1
CYDONIA OBLONGA SEED EXTRACT,1
TRICHILIA EMETICA SEED BUTTER,1
BUTYROSPERMUM PARKII (SHEA) BUTTER EXTRACT,1
C10-18 TRIGLYCERIDE,1
OCIMUM BASILICUM (BASIL) FLOWER/LEAF EXTRACT,1
ALPINIA GALANGA LEAF EXTRACT,1
PARFUM / FRAGRANCE (FIL Z70013153/1),1
PERLITE CAPRYLIC/CAPRIC TRIGLYCERIDE,1
PRUNUS PERSICA (PEACH) JUICE,1
CL 14700 / RED 4,1
INGREDIENTS: WATER (WATER),1
SO - DIUM BENZOATE,1
ACETYL DIPEPTIDE-1CETYL ESTER,1
ACRY - LATES/C10-30 ALKYL ACRYLATE CROSSPOLYMER,1
Z291023/1),1
CETEARYL AL - COHOL,1
SAUALENE,1
GLYCINE SOJA OIL / SOYBEAN OIL,1
917156 15 - INGREDIENTS: WATER / WATER,1
B258055/1),1
CI 77891/ TITANIUM DIOXIDE,1
CI 77163/ BISMUTH OXYCHLORIDE,1
Z 70019477/1),1
ACRYLATES -30 ALKYL ACRYLATE CROSSPOLYMER,1
782389 36 - INGREDIENTS: WATER / WATER,1
B223562/2),1
GLYCINE SOJA (SOYBE - AN OIL,1
3-0 - -ETHYL ASCORBIC ACID,1
MARIS SAL (SEA SALT ),1
CAMELLIA JAPONICA (TSUBAKI) SEED OIL,1
782725 146 - INGREDIENTS: WATER / WATER,1
L Z299156/1),1
CI 19140/ YELLOW 5,1
CI 15985/ YELLOW 6,1
SORBITAN LAUREATE,1
Z295496/1),1
OLEA EUROPAEA (OIIVE) FRUIT OIL,1
CI 14700/RED 4,1
FAEX EXTRACT/YEAST EXTRACT,1
Z70022717/1),1
VP/EICOSENE COPOLYMER,1
OCTADECANE,1
OPUNTIA FICUSINDICA SEED OIL,1
DISO- DIUM EDTA,1
TETRADECYL AMINOBUTYROYLVALYLAMINOBUTYRIC UREA TRI- FLUOROACETATE,1
POLYGLYCERYL-4 CAPRATE,1
HY- DROLYZED ADANSONIA DIGITATA SEED EXTRACT,1
PAL- MITOYL DIPEPTIDE-5 DIAMINOBUTYROYL HYDROXYTHREONINE,1
B260734/1),1
POTASSIUM CETYL PHOSPHATE SODIUM STEAROYL GLUTAMATE,1
L Z70011624/1),1
HYDROGENATED CASTOR OIL DIMER DILINOLEATE,1
SIMMONDSIA CHINENSIS SEED OIL/JOJOBA SEED OIL,1
B232369/1),1
PRUNUS ARMENIACA KERNEL OIL / APRICOT KERNEL OIL,1
SHOREA ROBUSTA SEED BUTTER,1
ANANAS SATIVUS (PINEAPPLE) FRUIT JUICE,1
BACILLUS/FOLIC ACID FERMENT FILTRATE EXTRACT,1
ACETYL GLUTAMINE,1
ORYZA SATIVA (RICE ) BRAN OIL,1
BETA - CAROTENE,1
CANNABIS SAWA (HEMP) SEED OIL,1
-SITOSTEROL,1
36),1
CI 12085 (D&C RED NO,1
CI 77492 (IRON OXIDES),1
PIROGLUTAMIC ACID,1
CANNABIS SATIVA (HEMP) SEED OIL MACADAMIA INTEGRIFOLIA SEED OIL,1
CICHORIUM INTYBUS (CHICORY) ROOT EXTRACT,1
GUAIAZULENE,1
POLYETHER-1,1
LACTIC ACID/GLYCOLIC ACID COPOLYMER,1
CANOLA (CANOLA ) OIL,1
FOLIC ACIDE L HYDROXYACETOPHENONE,1
| LAMINARIA OCHROLEUCA EXTRACT,1
POLYSORBATE E 2 20,1
LACTOFERRIN,1
T P TRIPELARGONIN,1
BUTYROSPERMUM I PARKII (SHEA ) B BUTTER,1
502 PROPANEDIOL,1
ISOPROPYL 20 ISOSTEARATE,1
GARDENIA TAHITENSIS FLOWER EXTRACT,1
GOSSYPIUM HERBACEUM (COTTON ) SEED OIL,1
PRUNUS AMYGDALUS DULCIS (SWEET ALMOND ) OIL,1
BENZYL ALCOHOL POTASSIUM,1
ANOL,1
SODIUM METABISULFITE PHENOXYETH,1
VITIS VINIFERA (GRAPE) LEAF EXTRACT,1
DNA,1
SIMMONDSIA CHINENSIS (JOJOBA ) SEED OIL,1
ETHYLHEXYLGLYC - ERIN,1
BUTYROSPERMUN PARKII BUTTER,1
ASCORBYL TETRAISOPALIMITATE,1
PYRUS MALUS SEED OIL,1
POTASSIUM LAURATE,1
DISODIUM LAURYL SULFOSUCCINATE,1
PEG-240/HDI COPOLYMER BIS-DECYLTETRADECETH-20 ETHER,1
SH-POLYPEPTIDE-9,1
SH-POLYPEPTIDE-11,1
SH-POLYPEPTIDE-1,1
CANDELILLA CERA,1
HYDROGENATED VEGETABLE 100 GLYCERIDES 10 F CITRATE,1
TOCOPHEROL HYDROGENATED VEGETABLE OIL,1
CANOLA ( (CANOLA ) OIL,1
PHYTOSTERYL/ISOSTEARYL/CETYL/STEARYL/BEHENYL DIMER DILINOLEATE,1
ACTINIDIA POLYGAMA FRUIT EXTRACT,1
SH-OLIGOPEPTIDE-2,1
HYALURONATE,1
SODIUM ACETYLATED,1
SODIUM STEAROYL GLUTAMATE BETA-SITOSTEROL,1
ETHYXEXYLGLYCERIN,1
TROXERUTIN,1
MARIS SAL (SEA SALT EXTRACT),1
CYMBOPOGON CITRATUS (LEMON GRASS) EXTRACT,1
PHOSPHOLIPID,1
COCO/CAPRYLATE CAPRATE,1
SORBITYL AURATE,1
BETA -CAROTENE,1
CANNABIS SATIVA (HEMP) SEED OIL,1
ETHYLCELLULOSE,1
BETA VULGARIS (BEET) ROOT EXTRACT,1
SACCHAROMYCES FERMENT,1
ORYZA SATIVA (RICE) EXTRACT,1
MONASCUS EXTRACT,1
LACTOCOCCUS FERMENT LYSATE,1
LACTOBACILLUS/PUNICA GRANATUM FRUIT FERMENT EXTRACT,1
BIFIDA FERMENT FILTRATE,1
LACTOCOCCUS FERMENT,1
LACTOBACILLUS/ACEROLA CHERRY FERMENT,1
POLYQUATERNIUM-51,1
FICUS CARICA (FIG) FRUIT EXTRACT,1
PELARGONIUM GRAVEOLENS FLOWER OIL,1
THEOBROMA CACAO (COCOA) SHELL POWDER,1
AMMONIUM ACRYLO- YLDIMETHYLTAURATE/VP COPOLYMER,1
GLYCOSYL TREHALOSE,1
DIOSCOREA JAPONICA ROOT EXTRACT,1
COCO- CAPRYLATE/-CAPRATE,1
ACACIA DECURRENS FLOWER CERA/ACACIA DECURRENS FLOWER WAX,1
POLYGLYCERYL-6 DISTEARATE,1
B181251/1),1
LACTOFERRICIN,1
CI 73360,1
CAPRYLIC / CAPRIC TRIGLYCERIDE,1
B206400/1),1
SODIUM HYDORXIED,1
CI 77289,1
COCOS NUCIFERA (COCONUT) WATER,1
ACRYLONITRILE/METHYL METHACRYLATE/VINYLIDENE CHLORISE CPOPYLMER,1
STEARYL DIMETHICONE,1
NYLON 6/12,1
VACCINIUM ANGUSTIFOLIUM (BLUEBERRY) FRUIT EXTRACT,1
BRASSICA OLERACEA CAPITATA (CABBAGE) LEAF EXTRACT,1
B176700/1),1
PHENYLETHYL RESORCINOL,1
HYDROLYZED RICE BRAN PROTEIN,1
ISOPROPYL LAUROYL SARCOSINATE,1
Z70013560/1),1
CI 47005 / ACID YELLOW 3,1
B163651/1),1
OENOTHERA BENNIS OIL/EVENING PRIMROSE OIL,1
MYRISTYL MALATE PHOSPHONIC ACID,1
CETEARYL ACOHOLO,1
B212914/1),1
POLYGLYCERYL-3 BEESWAX,1
POLYGLYCERYL-3,1
HELIANTHUS ANNUS SEED OIL/SUNFLOWER SEED OIL,1
HELIANTHUS ANNUUS SEED CERA/SUNFLOWER SEED WAX,1
GLYCINE SOJA OIL/SOYBEAN OIL,1
TRITICUM VULGARE (WHEAT) GERN OIL,1
BAICALIN,1
LILIUM CANDIDUM FLOWER EXTRACT,1
AVENA SATIVA (OAT) KERNEL FLOUR,1
3 -O-ETHYL ASCORBIC ACID,1
ASCORBYL TETRA-ISOPALMITATE,1
ASTROCARYUM TUCUMA SEED BUTTER,1
POTASSIUM OLIVOYL HYDROLYZED OAT PROTEIN,1
SACCHAROMYCES LYSATE EXTRACT,1
CYMBOPOGON SCHOENANTHUS EXTRACT,1
HIPPOPHAE RHAMNOIDES SEED OIL,1
CI77491 (IRON OXIDES),1
CI77891 (TITANIUM DIOXIDE),1
SKŁADNIK POCHODZENIA NATURALNEGO SKŁADNIK Z UPRAW ORGANICZNYCH SKŁADNIK ZAPEWNIAJĄCY TRWAŁOŚĆ KOSMETYKU I KOMFORT APLIKACJI,1
SODIUM LAUROYL GLUTAMATE,1
HYDROGENATED DIMER DILINOLEYL/ DIMETHYLCARBONATE COPOLYMER,1
CAMELLIA SINENSIS LEAF WATER,1
VINYL DIMETHICONE / METHICONE SILSESQUIOXANE CROSSPOLYMER,1
COCOS NUCIFERA (COCONUT) LIQUID ENDOSPERM,1
COCOS NUCIFERA FRUIT EXTRACT,1
PYRIDOXINE HYDROCHLORIDE,1
SALVIA HISPANICA (CHIA) SEED OIL,1
ACRYLOYLDIMETHYLTAURATE/VP COPOLYMER,1
AMMONIUM,1
METHYLPENTADECENE,1
HYDROGENATED TETRADECENYL,1
MANGIFERA INDICA FRUIT EXTRACT,1
TAPIOCHA STARCH,1
CRITHMUM MARITIMUM EXTRACT,1
ASCOPHYLLUM NODOSUM EXTRACT,1
C14-22 ALKYL ALCOHOL,1
CITRUS JAPONICA FRUIT EXTRACT,1
ALANINIE,1
DIMATHICONE CROSSPOLYMET,1
POLUSORBATE 60,1
CITRUS LIMONPEEL EXTRACT,1
ROSA CANINA SEED OIL,1
D- PANTHENOL,1
HYDROGENATED COCONUT OIL,1
DICAPRYLATE/DICAPRATE,1
PANAX GINSENG ROOT WATER,1
AGAVE TEQUILANE LEAF EXTRACT,1
ORYZA SATIVA (RICE) BRAN WATER,1
HYDROLYZED CORN PROTEIN,1
PEG-60 ALMOND GLYCERIDES,1
NORDIHYDROGUAIARETIC ACID,1
SUNFLOWER SEED ACID,1
IMPERATA CYLINDRICA ROOT EXTRACT,1
CAPRYLIC/CA - PRIC TRIGLYCERIDE,1
ARTEMISIA CAPILLARIS EXTRACT,1
MELALEUCA ALTERNIFOLIA (TEA TREE) LEAF OIL,1
AMBER POWDER,1
CITRULLUS LANATUS (WATERMELON) SEED OIL,1
CI 60725,1
BUTYLMETHOXYDIBENZOYLMETHANE,1
NYMPHAEA ALBA ROOT EXTRACT,1
CI 77947 (ZINC OXIDE),1
PPG-15 STEARYL ETHER,1
BETULA ALBA LEAF WATER,1
TRISILOXANE,1
LACTOBACILLUS/DAUCUS CAROTA SATIVA ROOT FERMENT FILTRATE,1
SODIUM HYALURONATE FRUCTOSE,1
PROTEINE,1
LYSINE HYDROCHLORIDE,1
SACCHAROMYCES/GRAPE FERMENT EXTRACT,1
HYDROLYZED,1
ALPHA–ISOMETHYL LONONE,1
C12–15 ALKYL BENZOATE,1
PARFUM Q10 PRZECIWZMARSZCZKOWY + UJĘDRNIENIE KREM REGENERUJĄCY NA NOC Z CZYSTYM KOENZYMEM Q10 I KREATYNĄ: WATER,1
Q10 PRZECIWZMARSZCZKOWY + UJĘDRNIENIE KREM ODŻYWCZY NA DZIEŃ SPF 15 Z CZYSTYM KOENZYMEM Q10 I KREATYNĄ: WATER,1
TALC,1
VACCINIUM MACROCARPON (CRANBERRY) FRUIT EXTRACT,1
PUNICA GRANATUM (POMEGRANATE) EXTRACT,1
FRAGARIA VESCA (STRAWBERRY) FRUIT EXTRACT,1
CI 47005,1
HYDROGENATED FARNESENE,1
POLYGLYCERYLDIISOSTEARATE/POLYHYDROXYSTEARATE/SEBACATE,1
VIGNA RADIATA SEED EXTRACT,1
MORINDA CITRIFOLIA EXTRACT,1
BAMBUSA VULGARIS EXTRACT,1
CANNABIDIOL,1
CITRUS PARADISI (GRAPEFRUIT) FRUIT EXTRACT,1
SACCHARO-MYCES/LACTOBACILLUS/ACETOBACTER/GREEN TEA FERMENT,1
SOLANUM TUBEROSUM STARCH,1
CETEARYL WHEAT STRAW GLYCOSIDES,1
GLYCERYL STEREATE,1
COCO-CAPRY-LATE/CAPRATE,1
2- HEXANEDIOL,1
PERSA GRATISSIMA OIL,1
HYDROGENATED COCO- GLYCERIDES,1
PHELLINUS LINTEUS EXTRACT,1
GLYCERYL STEARATE CITRATE DIMETHICONE,1
2–HEXANEDIOL,1
BENZOATE,1
C12–15 ALKYL,1
LYCIUM CHINENSE FRUIT EXTRACT,1
