unique_elements,count
DIMETHYL ISOSORBIDE,11
FERULIC ACID,11
SACCHARIDE ISOMERATE,11
CRAMBE ABYSSINICA SEED OIL,10
PALMITOYL DIPEPTIDE-5 DIAMINOBUTYROYL HYDROXYTHREONINE,10
COCO-GLUCOSIDE,10
ALPHA ISOMETHYL IONONE,10
DIPENTAERYTHRITYL HEXACAPRYLATE/HEXACAPRATE,10
CI 77891 (TITANIUM DIOXIDE),10
TETRAPEPTIDE-4,10
C14-22 ALCOHOLS,10
TRIBEHENIN,10
CAMELLIA JAPONICA SEED OIL,10
PIROCTONE OLAMINE,10
THREONINE,10
SODIUM ANISATE,10
CROCUS CHRYSANTHUS BULB EXTRACT,10
PENTAERYTHRITYL TETRAISOSTEARATE,10
ALANINE,10
LYSINE HCL,10
SESAMUM INDICUM SEED OIL,10
EAU),10
DIISOSTEAROYL POLYGLYCERYL-3 DIMER DILINOLEATE,10
SORBITAN SESQUIOLEATE,10
LYSOLECITHIN,10
CERA MICROCRISTALLINA,10
POLYISOBUTENE,10
POLYACRYLATE-13,10
ASIATIC ACID,10
MAGNESIUM PCA,10
SPILANTHES ACMELLA FLOWER EXTRACT,10
SODIUM STARCH OCTENYLSUCCINATE,10
TETRADECYL AMINOBUTYROYLVALYLAMINOBUTYRIC UREA TRIFLUOROACETATE,10
ORNITHINE HCL,10
FOLIC ACID,10
POLYDEXTROSE,10
MANNITOL,10
TRIDECANE,10
DECYL COCOATE,10
CETEARYL DIMETHICONE CROSSPOLYMER,10
POLYGLYCERYL-4 DIISOSTEARATE/POLYHYDROXYSTEARATE/SEBACATE,9
THEOBROMA CACAO (COCOA) SEED BUTTER,9
CETYL HYDROXYETHYLCELLULOSE,9
CETEARYL ISONONANOATE,9
SUCROSE PALMITATE,9
CAESALPINIA SPINOSA FRUIT EXTRACT,9
CYCLODEXTRIN,9
DIMETHICONE/VINYL DIMETHICONE CROSSPOLYMER,9
T-BUTYL ALCOHOL,9
CI 77820,9
HELIANTHUS ANNUUS SEED WAX,9
BUTYLENE GLYCOL DICAPRYLATE/DICAPRATE,9
INOSITOL,9
ISODODECANE,9
POLYGLYCERIN-3,9
PLUKENETIA VOLUBILIS SEED OIL,9
BHA,9
POLYGLYCERYL-3 DICITRATE/STEARATE,9
DISODIUM COCOAMPHODIACETATE,9
GLUTAMINE,9
ISOAMYL COCOATE,9
PRUNUS ARMENIACA KERNEL OIL,9
2-BROMO-2-NITROPROPANE-1,9
3-DIOL,9
TRITICUM VULGARE GERM OIL,9
CHONDRUS CRISPUS EXTRACT,9
TOCOPHEROL (VITAMIN E),9
DIPOTASSIUM GLYCYRRHIZATE,9
GLUTAMIC ACID,9
MAURITIA FLEXUOSA FRUIT OIL,9
LEVULINIC ACID,9
HYDROLYZED ELASTIN,9
ORYZA SATIVA BRAN OIL,9
HYDROGENATED PALM GLYCERIDES,9
MYRISTYL ALCOHOL,9
LAMINARIA HYPERBOREA EXTRACT,9
THEOBROMA CACAO SEED BUTTER,8
HYDROGENATED RAPESEED OIL,8
PANAX GINSENG ROOT EXTRACT,8
HYDROGENATED VEGETABLE GLYCERIDES,8
GLYCERYL GLUCOSIDE,8
ROSA HYBRID FLOWER EXTRACT,8
BUTYLPARABEN,8
BETA-GLUCAN,8
SHOREA STENOPTERA SEED BUTTER,8
POTASSIUM PHOSPHATE,8
ETHYL OLEATE,8
COPPER TRIPEPTIDE-1,8
POLYGLYCERYL-10 LAURATE,8
HISTIDINE,8
MADECASSIC ACID,8
GLYCERYL DIOLEATE,8
ROSA DAMASCENA FLOWER OIL,8
GLYCYRRHIZA GLABRA ROOT EXTRACT,8
CANNABIS SATIVA SEED OIL,8
ORYZA SATIVA STARCH,8
PENTAERYTHRITYL TETRA-DI-T-BUTYL HYDROXYHYDROCINNAMATE,8
ACRYLAMIDE/SODIUM ACRYLOYLDIMETHYLTAURATE COPOLYMER,8
PROPYLENE GLYCOL DICAPRYLATE/DICAPRATE,8
TRITICUM VULGARE (WHEAT) GERM EXTRACT,8
C30-45 ALKYL CETEARYL DIMETHICONE CROSSPOLYMER,8
ARGININE PCA,8
TAURINE,8
DEXTRIN,8
HYDROXYPROPYL METHYLCELLULOSE,8
POLYSILICONE-11,8
SACCHAROMYCES CEREVISIAE EXTRACT,8
GLYCERYL LINOLEATE,8
BIS(TRIPEPTIDE-1) COPPER ACETATE,8
ALOE BARBADENSIS LEAF JUICE POWDER,8
CAPRYLIC/ CAPRIC TRIGLYCERIDE,8
OLEYL ERUCATE,8
ISOSTEARYL HYDROXYSTEARATE,8
TRIDECETH-6,8
DIAMOND POWDER,8
TETRASODIUM EDTA,8
HYDROGENATED STARCH HYDROLYSATE,7
ROSMARINUS OFFICINALIS LEAF EXTRACT,7
SODIUM POLYACRYLATE STARCH,7
LACTOBACILLUS FERMENT LYSATE,7
CURCUMA LONGA (TURMERIC) ROOT EXTRACT,7
BISABOLOL,7
HEPTAPEPTIDE-7,7
LAURYL ALCOHOL,7
ACACIA SEYAL GUM EXTRACT,7
GLYCERYL POLYACRYLATE,7
SODIUM METABISULFITE,7
PISTACIA LENTISCUS (MASTIC) GUM,7
GLYCERYL ACRYLATE/ACRYLIC ACID COPOLYMER,7
STEARETH-20,7
PARFUM (FRAGRANCE ),7
TRIISOSTEARIN,7
CITRUS AURANTIUM BERGAMIA (BERGAMOT) FRUIT OIL,7
GINKGO BILOBA LEAF EXTRACT,7
POLYHYDROXYSTEARIC ACID,7
OCIMUM SANCTUM LEAF EXTRACT,7
ETHYLHEXYL PELARGONATE,7
GLYCINE SOJA (SOYBEAN ) OIL,7
GLYCOLIPIDS,7
HAMAMELIS VIRGINIANA LEAF EXTRACT,7
PHOSPHATIDYLSERINE,7
HYDROLYZED WHEAT PROTEIN,7
OLIVE GLYCERIDES,7
MAGNESIUM GLUCONATE,7
CENTELLA ASIATICA LEAF EXTRACT,7
BORON NITRIDE,7
PARFUM/FRAGRANCE (F,7
MORINGA OLEIFERA SEED EXTRACT,7
POLYMNIA SONCHIFOLIA ROOT JUICE,7
LACTOBACILLUS,7
TERMINALIA FERDINANDIANA FRUIT EXTRACT,7
COPPER GLUCONATE,7
ALPHA - GLUCAN OLIGOSACCHARIDE,7
ROSA CANINA FRUIT OIL,7
COLLAGEN,7
TRIETHYL CITRATE,7
TRILAURETH-4 PHOSPHATE,7
TRIHEPTANOIN,7
CICHORIUM INTYBUS ROOT OLIGOSACCHARIDES,7
PRUNUS ARMENIACA (APRICOT) KERNEL OIL,7
DAUCUS CAROTA SATIVA ROOT EXTRACT,7
SODIUM COCOYL GLUTAMATE,7
SODIUM ISOSTEARATE,6
ECTOIN,6
DISODIUM CETEARYL SULFOSUCCINATE,6
CALOPHYLLUM INOPHYLLUM SEED OIL,6
SEA WATER,6
HEXYL LAURATE,6
POLY C10-30 ALKYL ACRYLATE,6
LANOLIN,6
CORALLINA OFFICINALIS EXTRACT,6
RICE AMINO ACIDS,6
L-PROLINE,6
BETULIN,6
ETHYLHEXYL COCOATE,6
GLYCOSPHINGOLIPIDS,6
HUMULUS LUPULUS EXTRACT,6
CHAMOMILLA RECUTITA FLOWER EXTRACT,6
SAPONARIA OFFICINALIS ROOT EXTRACT,6
ALPHA-LSOMETHYL LONONE,6
VALINE,6
MANDELIC ACID,6
HYDROLYZED PEARL,6
RUBUS IDAEUS SEED OIL,6
CINNAMYL ALCOHOL,6
SODIUM CETEARYL SULFATE,6
GLUCOSYL HESPERIDIN,6
SODIUM CARRAGEENAN,6
PHENYLALANINE,6
ISOLEUCINE,6
LEUCINE,6
CI 16035,6
CI 16255,6
ZINC OXIDE,6
POTASSIUM AZELOYL DIGLYCINATE,6
ROSMARINUS OFFICINALIS (ROSEMARY) LEAF EXTRACT,6
CAESALPINIA SPINOSA EXTRACT,6
BEHENIC ACID,6
MADECASSOSIDE,6
AGAVE TEQUILANA LEAF EXTRACT,6
MAGNOLIA OFFICINALIS BARK EXTRACT,6
SACCHAROMYCES/XYLINUM/BLACK TEA FERMENT,6
FUCUS VESICULOSUS EXTRACT,6
EUPHORBIA CERIFERA (CANDELILLA) WAX,6
PAEONIA OFFICINALIS FLOWER EXTRACT,6
DAUCUS CAROTA SATIVA SEED OIL,6
GOLD (NANO),6
BEESWAX,6
TRANEXAMIC ACID,6
CETYL ESTERS,6
DISODIUM STEAROYL GLUTAMATE,6
DROMETRIZOLE TRISILOXANE,6
OXIDIZED STARCH ACETATE,6
BRAK DANYCH,6
DIISOPROPYL SEBACATE,6
ASPARTIC ACID,6
PHENYL TRIMETHICONE,6
WATER PURIFICATA,6
LAURDIMONIUM HYDROXYPROPYL HYDROLYZED SOY PROTEIN,6
CAVIAR EXTRACT,6
TETRAMETHYL ACETYLOCTAHYDRONAPHTHALENES,6
HEXAMETHYLINDANOPYRAN,6
DEXTRAN,6
THEOBROMA GRANDIFLORUM SEED BUTTER,6
UNDARIA PINNATIFIDA EXTRACT,6
PARAFFIN,6
POLYMETHYLSILSESQUIOXANE,6
CI 77492,6
LAURIC ACID,6
LAURYL GLUCOSIDE,6
HYDROLYZED CAESALPINIA SPINOSA GUM,6
LYSINE,6
MANGANESE CHLORIDE,6
MELIA AZADIRACHTA FLOWER EXTRACT,6
MELIA AZADIRACHTA LEAF EXTRACT,6
SODIUM CARBOMER,6
CUPRIC CHLORIDE,6
NYLON-12,6
LACTOBIONIC ACID,6
ASCORBYL METHYLSILANOL PECTINATE,5
HYDROGENATED TETRADECENYL/METHYLPENTADECENE,5
AVENA SATIVA KERNEL OIL,5
SILYBUM MARIANUM SEED OIL,5
SOLUBLE COLLAGEN,5
CARNITINE,5
HYDROLYZED ADANSONIA DIGITATA SEED EXTRACT,5
CERAMIDE NS,5
ARACHIDIC ACID,5
SKŁADNIKI POCHODZENIA NATURALNEGO / INGREDIENTS OF NATURAL ORIGIN,5
CERA ALBA (BEESWAX),5
NICOTINAMIDE ADENINE DINUCLEOTIDE,5
METHIONINE,5
HYDROXYPROLINE,5
COENZYME A,5
HYDROGENATED VEGETABLE OIL,5
SODIUM GLUCURONATE,5
THIAMINE DIPHOSPHATE,5
RETINYL ACETATE,5
POLYBUTENE,5
ACETYL HEPTAPEPTIDE-4,5
RICINUS COMMUNIS (CASTOR) SEED OIL,5
HYDROGENATED OLIVE OIL,5
OLEA EUROPAEA OIL UNSAPONIFIABLES,5
GLYCOLIC ACID,5
LACTOBACILLUS/ARUNDINARIA GIGANTEA FERMENT FILTRATE,5
SARGASSUM FILIPENDULA EXTRACT,5
HYPNEA MUSCIFORMIS EXTRACT,5
BACILLUS FERMENT,5
IRIS FLORENTINA ROOT EXTRACT,5
TYROSINE,5
AESCULUS HIPPOCASTANUM SEED EXTRACT,5
CITRUS AURANTIUM AMARA FLOWER EXTRACT,5
SILICA SILYLATE,5
TRYPTOPHAN,5
CYSTINE,5
ASPARAGINE,5
PALMITOYL HEXAPEPTIDE-12,5
ZINC GLUCONATE,5
HOMOSALATE,5
MALTOOLIGOSYL GLUCOSIDE,5
HYDROLYZED HIBISCUS ESCULENTUS EXTRACT,5
PENTAERYTHRITYL TETRAETHYLHEXANOATE,5
PROPYLHEPTYL CAPRYLATE,5
POLYGLYCERYL-3 PCA,5
POLYGLYCERYL-2 STEARATE,5
SUCROSE DISTEARATE,5
LIMNANTHES ALBA (MEADOWFOAM) SEED OIL,5
POLYMETHYL METHACRYLATE,5
SODIUM STEAROYL LACTYLATE,5
POTASSIUM CHLORIDE,5
CALCIUM CHLORIDE,5
SODIUM PHOSPHATE,5
SODIUM ACETATE,5
ALUMINUM STEARATES,5
LACTOSE,5
NIACIN,5
POLYGLYCERYL-3 DIISOSTEARATE,5
CAMELLIA OLEIFERA SEED OIL,5
PAPAIN,5
AVENA SATIVA KERNEL EXTRACT,5
SALVIA OFFICINALIS LEAF EXTRACT,5
AMMONIUM ACRYLOYLDIMETHYLTAURATE/STEARETH-25 METHACRYLATE CROSSPOLYMER,5
DIETHYLHEXYL SYRINGYLIDENE MALONATE,5
PEG-4 OLIVATE,5
ORBIGNYA OLEIFERA SEED OIL,5
HIPPOPHAE RHAMNOIDES OIL,5
INULIN LAURYL CARBAMATE,5
SUCROSE,5
LAUROYL LYSINE,5
AMYL CINNAMAL,5
VANILLA PLANIFOLIA FRUIT EXTRACT,5
RETINAL,5
ETHYLHEXYL HYDROXYSTEARATE,5
CLITORIA TERNATEA FLOWER EXTRACT,5
SKŁADNIK POCHODZENIA NATURALNEGO,5
HYDROLYZED JOJOBA ESTERS,5
SYNTHETIC BEESWAX,5
FARNESOL,5
ROSA DAMASCENA FLOWER WATER,5
LAVANDULA ANGUSTIFOLIA (LAVENDER) OIL,5
INGREDIENTS: WATER,5
SORBITAN PALMITATE,5
PCA,5
CITRUS AURANTIUM DULCIS (ORANGE) PEEL OIL,5
HIPPOPHAE RHAMNOIDES FRUIT EXTRACT,5
MARIS SAL,5
ALEURITES MOLUCCANUS SEED OIL,5
DMDM HYDANTOIN,5
SACCHAROMYCES/RICE FERMENT FILTRATE,5
METHYL METHACRYLATE CROSSPOLYMER,5
SYNTHETIC WAX,5
